Label,Value,Timestamp
Ale,0,1714635049
Approval,81,1714635049
Berries,43,1714635049
Clay,0,1714635049
Eggs,0,1714635049
Firewood,1490,1714635049
Hides,0,1714635049
Iron Ore,158,1714635049
Leather,77,1714635049
Meat,0,1714635049
Planks,256,1714635049
Regional Wealth,1025,1714635049
Roof Tiles,50,1714635049
Stone,757,1714635049
Timber,33,1714635049
Vegetables,114,1714635049
Ale,0,1714635050
Approval,81,1714635050
Berries,43,1714635050
Clay,0,1714635050
Eggs,0,1714635050
Firewood,1490,1714635050
Hides,0,1714635050
Iron Ore,158,1714635050
Leather,77,1714635050
Meat,0,1714635050
Planks,256,1714635050
Regional Wealth,1025,1714635050
Roof Tiles,50,1714635050
Stone,757,1714635050
Timber,33,1714635050
Vegetables,114,1714635050
Ale,0,1714635051
Approval,81,1714635051
Berries,43,1714635051
Clay,0,1714635051
Eggs,0,1714635051
Firewood,1490,1714635051
Hides,0,1714635051
Iron Ore,158,1714635051
Leather,77,1714635051
Meat,0,1714635051
Planks,256,1714635051
Regional Wealth,1025,1714635051
Roof Tiles,50,1714635051
Stone,757,1714635051
Timber,33,1714635051
Vegetables,114,1714635051
Ale,0,1714635052
Approval,81,1714635052
Berries,43,1714635052
Clay,0,1714635052
Eggs,0,1714635052
Firewood,1490,1714635052
Hides,0,1714635052
Iron Ore,158,1714635052
Leather,77,1714635052
Meat,0,1714635052
Planks,256,1714635052
Regional Wealth,1025,1714635052
Roof Tiles,50,1714635052
Stone,757,1714635052
Timber,33,1714635052
Vegetables,114,1714635052
Ale,0,1714635053
Approval,81,1714635053
Berries,43,1714635053
Clay,0,1714635053
Eggs,0,1714635053
Firewood,1490,1714635053
Hides,0,1714635053
Iron Ore,158,1714635053
Leather,77,1714635053
Meat,0,1714635053
Planks,256,1714635053
Regional Wealth,1025,1714635053
Roof Tiles,50,1714635053
Stone,757,1714635053
Timber,33,1714635053
Vegetables,114,1714635053
Ale,0,1714635054
Approval,81,1714635054
Berries,43,1714635054
Clay,0,1714635054
Eggs,0,1714635054
Firewood,1491,1714635054
Hides,0,1714635054
Iron Ore,158,1714635054
Leather,77,1714635054
Meat,0,1714635054
Planks,256,1714635054
Regional Wealth,1025,1714635054
Roof Tiles,50,1714635054
Stone,757,1714635054
Timber,33,1714635054
Vegetables,114,1714635054
Ale,0,1714635055
Approval,81,1714635055
Berries,43,1714635055
Clay,0,1714635055
Eggs,0,1714635055
Firewood,1492,1714635055
Hides,0,1714635055
Iron Ore,158,1714635055
Leather,77,1714635055
Meat,0,1714635055
Planks,256,1714635055
Regional Wealth,1025,1714635055
Roof Tiles,50,1714635055
Stone,757,1714635055
Timber,33,1714635055
Vegetables,114,1714635055
Ale,0,1714635056
Approval,81,1714635056
Berries,43,1714635056
Clay,0,1714635056
Eggs,0,1714635056
Firewood,1493,1714635056
Hides,0,1714635056
Iron Ore,158,1714635056
Leather,77,1714635056
Meat,0,1714635056
Planks,256,1714635056
Regional Wealth,1025,1714635056
Roof Tiles,50,1714635056
Stone,757,1714635056
Timber,33,1714635056
Vegetables,114,1714635056
Ale,0,1714635057
Approval,81,1714635057
Berries,43,1714635057
Clay,0,1714635057
Eggs,0,1714635057
Firewood,1494,1714635057
Hides,0,1714635057
Iron Ore,158,1714635057
Leather,77,1714635057
Meat,0,1714635057
Planks,256,1714635057
Regional Wealth,1024,1714635057
Roof Tiles,50,1714635057
Stone,757,1714635057
Timber,33,1714635057
Vegetables,114,1714635057
Ale,0,1714635058
Approval,81,1714635058
